symbol,date,time,open,high,low,close,volume
RELIANCE,2026-09-01,09:15,1450.00,1452.74,1435.12,1441.55,158137
RELIANCE,2026-09-01,09:45,1441.55,1448.04,1428.77,1433.44,112624
RELIANCE,2026-09-01,10:15,1433.44,1451.23,1428.25,1447.48,55560
RELIANCE,2026-09-01,10:45,1447.48,1461.17,1444.36,1461.10,315497
RELIANCE,2026-09-01,11:15,1461.10,1467.59,1447.05,1450.88,430995
RELIANCE,2026-09-01,11:45,1450.88,1452.38,1438.04,1444.97,389218
RELIANCE,2026-09-01,12:15,1444.97,1449.81,1439.81,1443.41,68613
RELIANCE,2026-09-01,12:45,1443.41,1453.34,1436.62,1448.81,368111
RELIANCE,2026-09-01,13:15,1448.81,1450.78,1434.68,1435.71,124050
RELIANCE,2026-09-01,13:45,1435.71,1439.17,1419.90,1421.64,113176
RELIANCE,2026-09-01,14:15,1421.64,1438.91,1416.26,1432.89,292344
RELIANCE,2026-09-01,14:45,1432.89,1435.91,1429.87,1430.66,134343
RELIANCE,2026-09-01,15:15,1430.66,1432.69,1423.08,1424.37,88174
TCS,2026-09-01,09:15,3200.00,3220.15,3188.43,3204.68,98125
TCS,2026-09-01,09:45,3204.68,3227.78,3194.56,3227.61,335470
TCS,2026-09-01,10:15,3227.61,3241.44,3203.33,3211.20,498076
TCS,2026-09-01,10:45,3211.20,3240.79,3196.58,3233.10,204234
TCS,2026-09-01,11:15,3233.10,3233.29,3211.80,3215.49,172754
TCS,2026-09-01,11:45,3215.49,3225.89,3204.84,3219.28,371558
TCS,2026-09-01,12:15,3219.28,3233.81,3179.42,3194.05,328303
TCS,2026-09-01,12:45,3194.05,3205.88,3167.01,3170.32,152997
TCS,2026-09-01,13:15,3170.32,3181.99,3132.09,3145.63,409909
TCS,2026-09-01,13:45,3145.63,3155.05,3131.37,3132.81,359255
TCS,2026-09-01,14:15,3132.81,3141.79,3101.65,3109.29,365732
TCS,2026-09-01,14:45,3109.29,3124.16,3108.43,3118.73,81324
TCS,2026-09-01,15:15,3118.73,3123.94,3107.03,3122.60,242047
INFY,2026-09-01,09:15,1550.00,1553.68,1531.21,1538.06,393690
INFY,2026-09-01,09:45,1538.06,1541.53,1522.08,1522.85,360797
INFY,2026-09-01,10:15,1522.85,1533.14,1517.17,1531.90,393491
INFY,2026-09-01,10:45,1531.90,1547.25,1526.53,1544.97,231894
INFY,2026-09-01,11:15,1544.97,1548.83,1541.65,1548.54,278359
INFY,2026-09-01,11:45,1548.54,1564.12,1541.24,1562.16,240985
INFY,2026-09-01,12:15,1562.16,1569.90,1556.62,1562.78,254308
INFY,2026-09-01,12:45,1562.78,1567.98,1552.35,1556.36,225666
INFY,2026-09-01,13:15,1556.36,1567.82,1554.70,1561.42,128649
INFY,2026-09-01,13:45,1561.42,1579.74,1560.94,1576.06,430505
INFY,2026-09-01,14:15,1576.06,1577.37,1562.66,1567.12,387010
INFY,2026-09-01,14:45,1567.12,1580.73,1567.11,1576.65,192649
INFY,2026-09-01,15:15,1576.65,1587.84,1574.73,1582.13,250355
HDFCBANK,2026-09-01,09:15,1750.00,1758.10,1736.28,1736.75,94403
HDFCBANK,2026-09-01,09:45,1736.75,1745.72,1734.43,1744.64,354211
HDFCBANK,2026-09-01,10:15,1744.64,1751.48,1738.52,1743.00,149082
HDFCBANK,2026-09-01,10:45,1743.00,1751.58,1737.99,1750.44,176878
HDFCBANK,2026-09-01,11:15,1750.44,1755.76,1743.07,1749.22,246333
HDFCBANK,2026-09-01,11:45,1749.22,1757.89,1744.25,1745.78,310888
HDFCBANK,2026-09-01,12:15,1745.78,1752.66,1738.96,1742.63,307740
HDFCBANK,2026-09-01,12:45,1742.63,1755.24,1740.52,1747.48,447173
HDFCBANK,2026-09-01,13:15,1747.48,1749.14,1734.55,1736.11,414146
HDFCBANK,2026-09-01,13:45,1736.11,1756.14,1730.00,1749.39,230319
HDFCBANK,2026-09-01,14:15,1749.39,1756.80,1737.24,1737.27,112846
HDFCBANK,2026-09-01,14:45,1737.27,1745.85,1729.92,1738.29,170700
HDFCBANK,2026-09-01,15:15,1738.29,1742.69,1719.82,1725.24,421303
ICICIBANK,2026-09-01,09:15,1350.00,1359.16,1349.84,1358.21,375030
ICICIBANK,2026-09-01,09:45,1358.21,1362.69,1355.40,1356.63,343763
ICICIBANK,2026-09-01,10:15,1356.63,1360.71,1343.67,1350.33,334834
ICICIBANK,2026-09-01,10:45,1350.33,1354.75,1349.60,1352.78,412060
ICICIBANK,2026-09-01,11:15,1352.78,1356.82,1351.42,1356.68,189750
ICICIBANK,2026-09-01,11:45,1356.68,1358.18,1354.82,1355.48,351426
ICICIBANK,2026-09-01,12:15,1355.48,1360.29,1351.40,1357.22,379328
ICICIBANK,2026-09-01,12:45,1357.22,1368.25,1356.47,1364.96,430138
ICICIBANK,2026-09-01,13:15,1364.96,1371.03,1352.08,1354.48,163634
ICICIBANK,2026-09-01,13:45,1354.48,1361.85,1348.93,1358.94,323158
ICICIBANK,2026-09-01,14:15,1358.94,1370.48,1354.59,1366.91,451143
ICICIBANK,2026-09-01,14:45,1366.91,1372.52,1356.61,1358.36,62925
ICICIBANK,2026-09-01,15:15,1358.36,1373.21,1354.37,1370.82,460872
SBIN,2026-09-01,09:15,850.00,852.99,845.69,848.04,210653
SBIN,2026-09-01,09:45,848.04,855.26,847.15,853.44,341638
SBIN,2026-09-01,10:15,853.44,854.41,851.38,852.09,239021
SBIN,2026-09-01,10:45,852.09,856.19,846.96,847.47,437941
SBIN,2026-09-01,11:15,847.47,848.04,837.92,841.78,272258
SBIN,2026-09-01,11:45,841.78,845.75,837.59,842.24,147688
SBIN,2026-09-01,12:15,842.24,842.64,833.31,835.17,266528
SBIN,2026-09-01,12:45,835.17,837.92,828.78,831.75,248758
SBIN,2026-09-01,13:15,831.75,834.73,826.92,829.95,368081
SBIN,2026-09-01,13:45,829.95,830.49,823.52,824.61,237507
SBIN,2026-09-01,14:15,824.61,826.06,821.62,822.60,229304
SBIN,2026-09-01,14:45,822.60,824.74,816.63,818.05,416767
SBIN,2026-09-01,15:15,818.05,828.53,817.28,825.11,168597
ITC,2026-09-01,09:15,500.00,504.04,497.94,502.76,80872
ITC,2026-09-01,09:45,502.76,507.79,501.92,506.35,176710
ITC,2026-09-01,10:15,506.35,511.38,505.49,510.84,63408
ITC,2026-09-01,10:45,510.84,513.86,509.75,511.43,140535
ITC,2026-09-01,11:15,511.43,517.48,508.92,515.11,344173
ITC,2026-09-01,11:45,515.11,518.27,513.38,516.93,151693
ITC,2026-09-01,12:15,516.93,517.40,513.64,514.73,341276
ITC,2026-09-01,12:45,514.73,518.26,514.04,517.09,369985
ITC,2026-09-01,13:15,517.09,519.17,512.78,513.47,215453
ITC,2026-09-01,13:45,513.47,515.90,509.53,510.19,98971
ITC,2026-09-01,14:15,510.19,512.01,506.54,506.97,478875
ITC,2026-09-01,14:45,506.97,507.70,504.51,507.35,103436
ITC,2026-09-01,15:15,507.35,509.39,507.05,509.15,421664
LT,2026-09-01,09:15,3600.00,3609.94,3584.77,3608.17,400231
LT,2026-09-01,09:45,3608.17,3621.96,3584.37,3598.68,351258
LT,2026-09-01,10:15,3598.68,3607.36,3583.83,3589.30,304230
LT,2026-09-01,10:45,3589.30,3594.43,3559.57,3572.10,255914
LT,2026-09-01,11:15,3572.10,3579.98,3550.15,3550.61,341788
LT,2026-09-01,11:45,3550.61,3563.64,3535.41,3545.90,156824
LT,2026-09-01,12:15,3545.90,3548.56,3519.71,3527.28,305621
LT,2026-09-01,12:45,3527.28,3578.34,3524.51,3562.28,178848
LT,2026-09-01,13:15,3562.28,3592.18,3557.55,3589.79,103788
